macd_line,future_price,sma,vwap,macd_histogram,macd_signal,rsi_14,price
0.1473328697760507,147.1699981689453,147.05700073242187,146.90235789254876,0.0483199467986639,0.0990129229773868,60.916709170632856,147.1300048828125
0.1567105096824548,147.27000427246094,147.09299926757814,146.9053075336541,0.0461580693640543,0.1105524403184004,61.82506620598849,147.1699981689453
0.1702494835683694,147.27000427246094,147.13900146484374,146.90763659691186,0.0477576345999752,0.1224918489683942,64.07361871610487,147.27000427246094
0.1789167766862078,147.27000427246094,147.20000305175782,146.90934501339976,0.0451399421742508,0.133776834511957,64.07361871610487,147.27000427246094
0.1836684533262484,147.42999267578125,147.2220031738281,146.91314848008665,0.0399132950514331,0.1437551582748153,64.07361871610487,147.27000427246094
0.1980607967897469,147.5500030517578,147.28200073242186,146.91594401271976,0.0434445108119453,0.1546162859778016,67.85658760460642,147.42999267578125
0.2166532235494003,147.5399932861328,147.35800170898438,146.91923505647836,0.0496295500572789,0.1670236734921213,70.37642084030769,147.5500030517578
0.2279524572451805,147.61000061035156,147.41199951171876,146.92232617950862,0.0487430270024473,0.1792094302427332,69.88432534188294,147.5399932861328
0.2397920142693408,147.6699981689453,147.47999877929686,146.92743185755367,0.048466067221286,0.1913259470480547,71.39103184841184,147.61000061035156
0.251121477987823,147.65499877929688,147.55999755859375,146.93165410222633,0.0478364247518145,0.2032850532360084,72.65375613244785,147.6699981689453
0.2559395227185348,147.47000122070312,147.60499877929686,146.93550348213327,0.042123575586021,0.2138159471325137,71.80054061633186,147.65499877929688
0.2420400143693371,147.80999755859375,147.58899841308593,146.93957706927532,0.0225792537894586,0.2194607605798784,62.112098121583216,147.47000122070312
0.2555140104019244,147.77499389648438,147.64299926757812,146.94472415134192,0.0288425998576367,0.2266714105442876,70.09793389004335,147.80999755859375
0.2603664044996208,147.72000122070312,147.67599792480468,146.9474632221993,0.0269559951642664,0.2334104093353543,68.49720927493011,147.77499389648438
0.2568141191349298,147.8300018310547,147.68599853515624,146.95042696415595,0.0187229678396603,0.2380911512952694,65.9492226789765,147.72000122070312
